YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,0,28.8,22.1,68,3,360
2021,1,2,0,30.6,23.8,67,4,360
2021,1,3,0,30.5,24.4,72,3,30
2021,1,4,0,32,24.1,72,2,40
2021,1,5,-1,31.4,23.2,74,2,360
2021,1,6,1.4,31.8,22.9,75,2,320
2021,1,7,0,30.7,22.9,73,2,20
2021,1,8,0,30.9,22.6,71,3,340
2021,1,9,0,29.8,21.5,67,3,360
2021,1,10,0,29.2,20.6,67,3,360
2021,1,11,0,29.4,21.5,66,3,340
2021,1,12,0,27.7,21.4,66,2,360
2021,1,13,0,28.6,22.6,68,1,320
2021,1,14,0,31.2,24,64,2,340
2021,1,15,0,30.5,23.8,67,2,20
2021,1,16,0,30.4,22.9,69,2,360
2021,1,17,0,29.8,24.1,62,3,360
2021,1,18,-1,29.2,24,64,4,360
2021,1,19,0,30.2,24,64,3,360
2021,1,20,13.9,30.2,24.2,70,2,20
2021,1,21,11.3,30,24.6,83,2,320
2021,1,22,2.8,31.8,24.6,82,3,180
2021,1,23,18.4,27.5,23.6,88,2,340
2021,1,24,0,30.8,23.6,77,2,90
2021,1,25,0.4,30.3,24.6,78,1,320
2021,1,26,-1,31.4,24.2,75,2,360
2021,1,27,-1,30.4,23.8,74,2,140
2021,1,28,0,29.9,23,73,2,340
2021,1,29,0,27.8,20.8,68,3,80
2021,1,30,0,27.6,19,65,3,350
2021,1,31,0,28,21.2,64,3,40
2021,2,1,0,28,20.3,69,2,250
2021,2,2,0,30.4,21.5,65,2,320
2021,2,3,0,31.1,22.1,68,2,40
2021,2,4,0,30.8,22.6,66,3,40
2021,2,5,-1,31.5,23.5,68,3,340
2021,2,6,0,31.2,24.1,70,2,40
2021,2,7,0,33,22.7,67,2,110
2021,2,8,0,32.1,23.7,69,2,90
2021,2,9,0,30,23.3,74,3,360
2021,2,10,18.6,30.5,22.9,79,2,40
2021,2,11,0,30.6,22.6,80,2,360
2021,2,12,0,31.2,23.4,75,3,350
2021,2,13,63.4,29.3,22,83,2,20
2021,2,14,0,30.9,22.7,79,2,340
2021,2,15,0,30,22.4,79,2,320
2021,2,16,0,30,21.3,73,2,40
2021,2,17,0,30.7,22.6,69,2,90
2021,2,18,0,30.2,20.6,64,3,360
2021,2,19,0,28.5,19.4,63,3,20
2021,2,20,0,28.6,19,61,3,40
2021,2,21,0,30.6,21.3,64,3,340
2021,2,22,0.2,29.7,24,70,2,360
2021,2,23,-1,30.2,23.7,76,2,360
2021,2,24,0,33.2,23.4,71,2,40
2021,2,25,0,33.4,22.9,65,2,180
2021,2,26,0,33,24.6,65,2,160
2021,2,27,0,34.3,24.6,70,2,340
2021,2,28,0,32.7,24.5,70,2,140
2021,3,1,0,33,23.5,70,2,20
2021,3,2,-1,35.3,24.3,69,2,360
2021,3,3,0,32.4,24.7,71,2,90
2021,3,4,0,31.6,23.3,68,2,90
2021,3,5,0,33.4,22.5,64,2,90
2021,3,6,0,33.2,22.8,61,2,40
2021,3,7,0,32.9,22.5,64,2,110
2021,3,8,0,33,23.4,62,2,320
2021,3,9,0,33,22.8,62,2,360
2021,3,10,0,32.6,23.6,61,3,360
2021,3,11,0,32.7,23.3,62,3,340
2021,3,12,-1,31.2,24.5,63,3,40
2021,3,13,0,31.5,24.7,68,3,320
2021,3,14,0,32.6,24.7,63,3,20
2021,3,15,1.6,32.6,24.7,70,2,40
2021,3,16,0.8,33.4,24.8,73,2,180
2021,3,17,1.2,33.4,25.5,75,2,320
2021,3,18,26.4,36.4,24.9,75,2,360
2021,3,19,3.7,34.6,24.1,78,2,180
2021,3,20,1,31.8,24.4,75,2,290
2021,3,21,0.4,34.6,24.8,73,2,140
2021,3,22,-1,32.6,24.1,68,2,320
2021,3,23,0.4,31.4,23.7,71,3,90
2021,3,24,0,32.8,23.7,70,2,340
2021,3,25,0,34.5,23.6,62,3,90
2021,3,26,0,32.8,25.1,65,2,90
2021,3,27,0,34.8,24,65,2,140
2021,3,28,0,35,24.9,64,2,360
2021,3,29,0,34.9,23.9,67,2,320
2021,3,30,0,36.7,24.8,59,2,320
2021,3,31,0,35.2,24.9,62,2,90
2021,4,1,0,35.7,21.9,58,2,200
2021,4,2,0,34.6,21.6,57,3,250
2021,4,3,0,35.5,24.5,57,2,20
2021,4,4,0,35.4,24.9,58,3,140
2021,4,5,-1,35.3,25.3,60,2,360
2021,4,6,0,33.8,24.7,64,2,140
2021,4,7,0,34.5,25.5,62,2,90
2021,4,8,0.1,32.8,25,67,2,340
2021,4,9,0,33.4,25.2,64,3,340
2021,4,10,0,34.4,23.5,61,3,90
2021,4,11,0,35.2,23.1,54,3,20
2021,4,12,0,36,25.2,58,2,360
2021,4,13,1.6,35.4,25.1,70,2,360
2021,4,14,0,35,25.6,63,2,160
2021,4,15,-1,36.1,25,67,3,180
2021,4,16,0,35.4,25.1,62,2,110
2021,4,17,0,35.6,25,62,3,360
2021,4,18,0,36.4,24.6,58,3,340
2021,4,19,-1,34.9,24.6,62,2,20
2021,4,20,22.4,34.4,24.7,68,2,180
2021,4,21,4,33.6,24.9,82,2,250
2021,4,22,0,34.9,26,72,2,360
2021,4,23,0,34.5,24,68,2,200
2021,4,24,0,34.1,23.6,67,2,340
2021,4,25,0,34.5,23.3,63,3,360
2021,4,26,0,31.6,24.6,68,2,180
2021,4,27,0,33.2,23.2,67,2,90
2021,4,28,0,34.2,24.4,66,2,180
2021,4,29,0,34.5,25.1,70,2,180
2021,4,30,0,35.3,25.5,66,2,360
2021,5,1,0,36.8,25.6,67,2,360
2021,5,2,0,37.4,24.5,59,2,340
2021,5,3,0,35.6,25.1,63,3,90
2021,5,4,0,35.2,26.6,62,2,90
2021,5,5,0,37,25.6,60,2,90
2021,5,6,0,35.9,26.1,60,2,140
2021,5,7,0,35.5,25.2,60,3,90
2021,5,8,0,36.6,26.4,64,2,110
2021,5,9,0,38.1,26.5,63,2,250
2021,5,10,0,35.1,27.4,65,2,140
2021,5,11,0,35.7,26.2,66,2,20
2021,5,12,0,36.9,26.3,62,2,90
2021,5,13,0,37.2,25.6,59,3,140
2021,5,14,0,36.6,26.1,60,2,90
2021,5,15,0,35.7,26.8,65,3,90
2021,5,16,0,36,25.6,61,3,140
2021,5,17,0,38.2,27.3,56,3,20
2021,5,18,0,36.1,26.3,66,2,180
2021,5,19,0,36.2,25.8,62,2,90
2021,5,20,0,36.9,26.6,64,4,180
2021,5,21,11,37.7,26.6,71,3,180
2021,5,22,0,35.5,25.5,68,3,180
2021,5,23,0.1,36.3,25,67,3,180
2021,5,24,0.2,36.8,25.2,64,2,350
2021,5,25,0,37.9,26.9,61,3,180
2021,5,26,1,35.9,25.4,70,2,90
2021,5,27,0,36.7,28,65,2,180
2021,5,28,0,35.9,27.4,67,3,180
2021,5,29,4.8,37.5,26.4,66,3,170
2021,5,30,11,33.9,25.9,80,2,360
2021,5,31,0,36.5,27.1,69,2,180
2021,6,1,2.5,38.3,25.6,67,2,340
2021,6,2,16.7,32.5,24.5,86,4,360
2021,6,3,-1,33.6,25.4,81,3,180
2021,6,4,17.6,34.1,24.9,84,2,160
2021,6,5,-1,34.7,26.2,72,2,180
2021,6,6,0,33.1,25.6,74,1,250
2021,6,7,-1,34.2,25.2,76,3,180
2021,6,8,14.8,32.7,24.6,82,3,180
2021,6,9,1.6,32.3,24.3,90,2,160
2021,6,10,7,32.4,24.8,80,3,180
2021,6,11,2.2,29.6,25.3,89,2,180
2021,6,12,0,31.8,25.6,80,3,190
2021,6,13,-1,33.3,24.5,76,3,200
2021,6,14,1.8,32.5,23.8,84,2,360
2021,6,15,0,35,25,72,2,180
2021,6,16,0,35.4,26.2,71,2,360
2021,6,17,17.6,35.9,24.1,78,2,360
2021,6,18,0.1,34,24.9,75,2,250
2021,6,19,0.7,34.5,24.4,83,2,200
2021,6,20,-1,34,25,77,2,200
2021,6,21,16.1,31.1,24.1,89,2,20
2021,6,22,5.2,33.2,23.6,86,2,360
2021,6,23,31.4,32.4,23,91,1,360
2021,6,24,0.4,32.3,23.9,84,2,180
2021,6,25,30,32.2,22.8,90,2,180
2021,6,26,48.2,31.5,22.8,88,2,340
2021,6,27,0,34.2,24.8,78,2,250
2021,6,28,0.8,34.9,25,75,2,180
2021,6,29,-1,33.8,26.3,74,2,180
2021,6,30,0,35.3,25.4,72,2,140
2021,7,1,6.4,34.8,23.8,78,2,180
2021,7,2,25.9,35.4,21.9,80,2,140
2021,7,3,7.3,30.9,24.7,88,2,340
2021,7,4,0.4,29.8,24.6,86,2,340
2021,7,5,2.4,31.9,24.7,76,3,180
2021,7,6,4.2,32.9,23.6,84,2,180
2021,7,7,0,34.4,25.6,74,2,20
2021,7,8,-1,33.8,25.9,70,2,20
2021,7,9,0.2,32.3,25.6,76,2,270
2021,7,10,0.4,32.2,25.8,75,2,40
2021,7,11,0.2,32,26,78,2,360
2021,7,12,12.6,33.9,25.2,77,2,250
2021,7,13,32.9,33,23.8,79,2,90
2021,7,14,0.6,34.2,24.6,78,2,360
2021,7,15,1.8,33.3,25,80,3,190
2021,7,16,0.4,31.9,25,86,2,180
2021,7,17,5.4,32.7,25.9,82,3,180
2021,7,18,2.7,32.2,25,84,4,180
2021,7,19,14.8,32.8,25,84,3,180
2021,7,20,25.3,27.8,23.9,94,1,160
2021,7,21,34.6,26.5,23.9,97,2,180
2021,7,22,88.5,25.8,23.8,98,2,180
2021,7,23,100.4,26.8,24,98,2,180
2021,7,24,16.4,27.6,24.4,97,3,180
2021,7,25,21.5,28,24.5,95,2,180
2021,7,26,1.3,33.5,25.4,82,3,180
2021,7,27,1.3,33.5,25.9,86,2,220
2021,7,28,79.6,28.5,23.3,96,3,180
2021,7,29,32.9,25.7,23.3,98,2,180
2021,7,30,5.6,29.5,24.8,95,2,200
2021,7,31,1,32.3,25,85,3,180
2021,8,1,56.3,32.4,24.3,85,3,360
2021,8,2,16.5,31.6,25.2,87,2,180
2021,8,3,6.8,32.8,25.3,87,3,180
2021,8,4,3.1,31,25.5,85,4,180
2021,8,5,14.5,30.8,25.1,89,4,180
2021,8,6,2.2,32.7,25.9,82,4,180
2021,8,7,1.2,32.9,24.9,80,3,180
2021,8,8,11.6,31.6,23,86,3,180
2021,8,9,5.1,31.9,24.4,86,2,360
2021,8,10,58.2,31,23.7,92,2,140
2021,8,11,0.6,30.3,23.8,91,1,360
2021,8,12,-1,30.8,25.2,82,1,260
2021,8,13,0.1,31.7,23.8,84,2,180
2021,8,14,0,33.1,24.9,78,2,180
2021,8,15,5.4,29.5,24.2,91,2,250
2021,8,16,-1,32.6,24.8,78,2,180
2021,8,17,-1,34.2,26.1,74,2,180
2021,8,18,53.3,33.4,22.7,84,2,350
2021,8,19,35.6,34.3,24.3,80,2,350
2021,8,20,0.9,33.2,23.6,81,2,20
2021,8,21,12.7,32.7,23.5,85,2,270
2021,8,22,1.8,34.6,24.1,77,2,180
2021,8,23,2.8,32.7,24.9,82,2,180
2021,8,24,0,31.3,24.8,85,2,180
2021,8,25,-1,32.9,24.6,75,2,360
2021,8,26,-1,31,24.9,78,2,360
2021,8,27,1.8,31.5,24.9,79,2,270
2021,8,28,2.8,34,24.1,78,2,360
2021,8,29,9.4,31.8,24.4,83,1,360
2021,8,30,2.8,32.3,24,84,2,20
2021,8,31,1.2,31.9,24.1,84,2,20
2021,9,1,55.8,32.5,23.4,85,2,270
2021,9,2,24.6,33.6,23.4,82,2,360
2021,9,3,0.2,31.6,23.4,79,2,360
2021,9,4,-1,31.5,24.5,84,1,220
2021,9,5,2.4,32.7,24.6,84,2,360
2021,9,6,33.2,33,22.6,83,2,270
2021,9,7,17.2,33.1,24.1,74,2,360
2021,9,8,63.4,25.8,23.6,98,3,360
2021,9,9,0,32,24.1,82,3,180
2021,9,10,36.2,31.6,23.2,84,3,180
2021,9,11,49.1,26.8,24,98,2,170
2021,9,12,24,27.1,23.9,98,2,180
2021,9,13,0,32.7,24.2,82,2,180
2021,9,14,2,34.6,24.9,79,2,360
2021,9,15,0,34,25.3,73,2,360
2021,9,16,3.8,33.1,24.1,80,2,180
2021,9,17,0,33.5,25.6,71,2,20
2021,9,18,7,33,25.2,81,2,270
2021,9,19,3,30,23.5,88,1,270
2021,9,20,0.4,29.5,24.5,81,2,360
2021,9,21,0,33.5,25,77,2,360
2021,9,22,0,33.5,25.4,71,2,160
2021,9,23,0,34.5,24.3,72,2,80
2021,9,24,0,34.2,25.1,70,2,320
2021,9,25,0,34.9,25.5,67,2,360
2021,9,26,0.6,35.4,26,72,2,360
2021,9,27,2.6,34.9,24.6,77,2,180
2021,9,28,14.6,34,24.9,79,1,360
2021,9,29,6.7,32.2,24.3,85,2,180
2021,9,30,22,32.2,23.7,90,2,250
2021,10,1,0,33,25,76,1,250
2021,10,2,6.2,33.6,24.4,77,2,200
2021,10,3,0.9,32.5,25.6,75,2,320
2021,10,4,1.3,28.8,25,77,2,340
2021,10,5,10.2,27.5,23.8,88,1,340
2021,10,6,0.1,28.4,25,87,2,180
2021,10,7,1.6,28.7,24.5,86,2,250
2021,10,8,-1,30.8,25.2,78,2,180
2021,10,9,0,33,24.4,80,2,250
2021,10,10,7.4,33.6,24.6,78,2,180
2021,10,11,11.8,28.4,23.8,80,3,180
2021,10,12,15.7,29.4,23.6,85,4,180
2021,10,13,3.1,29.6,24.2,90,2,180
2021,10,14,12.9,29,24.2,95,1,360
2021,10,15,0.6,31,24.4,86,2,350
2021,10,16,0,31.9,24.3,76,2,360
2021,10,17,1.1,33,24.5,74,2,250
2021,10,18,0,31.7,23.8,70,2,250
2021,10,19,0,32.4,24.2,64,2,90
2021,10,20,0.2,32.6,25.5,72,2,270
2021,10,21,53.4,31.7,23.6,81,2,320
2021,10,22,0,33.6,25,73,1,250
2021,10,23,0.1,33,25.1,71,2,140
2021,10,24,0.7,29.6,24,80,2,320
2021,10,25,-1,30.8,24,78,2,290
2021,10,26,0,32,24.2,68,2,250
2021,10,27,0,33.2,24.4,67,2,360
2021,10,28,0,30.8,23.5,69,3,320
2021,10,29,0,33,23.6,62,3,320
2021,10,30,0,32.2,24.6,65,2,320
2021,10,31,0.2,32.9,25,62,2,140
2021,11,1,0,32.6,25,69,3,360
2021,11,2,0,31.8,22.6,63,2,360
2021,11,3,0,33.6,26.1,60,2,360
2021,11,4,0,33.6,24.8,62,2,340
2021,11,5,0.1,32.4,25.2,70,3,340
2021,11,6,0,34.2,26.2,70,2,340
2021,11,7,2.6,34.5,24.7,67,2,110
2021,11,8,0,31.2,24.7,77,2,360
2021,11,9,0,33.4,23.8,62,2,270
2021,11,10,0,30.5,23.8,72,2,270
2021,11,11,0,33.4,24.3,66,2,320
2021,11,12,0,32.7,25.6,66,2,320
2021,11,13,0,33,24.6,69,1,90
2021,11,14,0,33.5,25.4,67,2,250
2021,11,15,30.2,33.4,24.2,75,2,360
2021,11,16,0,32.6,25.2,73,2,90
2021,11,17,0,31.7,24.9,73,2,250
2021,11,18,0,32,24.5,73,2,320
2021,11,19,2.2,33.4,23.9,75,1,360
2021,11,20,0,33.1,25.5,70,2,40
2021,11,21,0,31.1,23.8,81,1,250
2021,11,22,8.4,33.6,24.9,80,2,320
2021,11,23,0,33.4,24.3,69,2,360
2021,11,24,0,32,24.6,71,3,320
2021,11,25,0,31.5,25.5,73,2,340
2021,11,26,-1,29.2,24,78,2,320
2021,11,27,3.8,30,24.1,78,2,320
2021,11,28,-1,30,24.2,76,2,250
2021,11,29,-1,33,24.5,73,2,360
2021,11,30,-1,32.4,24.5,79,2,360
2021,12,1,0,32.6,21.7,69,3,360
2021,12,2,0,29.9,21.1,68,2,320
2021,12,3,0,30,21.2,66,2,340
2021,12,4,0,28.5,21,67,3,360
2021,12,5,0,29.9,19.9,64,2,320
2021,12,6,0,30.6,21,64,2,360
