YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,0,20.4,16.8,90,5,40
2021,1,2,0,22.8,19,86,8,40
2021,1,3,0.8,23,19.6,88,6,40
2021,1,4,0,24.2,20,91,4,40
2021,1,5,0,24.3,19.6,90,8,10
2021,1,6,0,22.8,19.8,91,5,20
2021,1,7,9.5,22.2,16,92,10,20
2021,1,8,0.4,19.3,14,90,9,40
2021,1,9,0,18,14.5,86,8,40
2021,1,10,0,20.2,15.1,84,6,50
2021,1,11,1,22.6,17,91,6,360
2021,1,12,0.8,20,16.8,89,7,20
2021,1,13,0,20.4,17.4,90,6,40
2021,1,14,0,23.2,18.7,90,4,40
2021,1,15,0,24,17.7,90,4,40
2021,1,16,45.2,23.6,18.7,87,7,40
2021,1,17,5.3,20.6,16,94,12,20
2021,1,18,1.4,20.8,17.3,90,6,40
2021,1,19,0.1,22.2,18.5,92,8,90
2021,1,20,2.5,23.8,18.4,92,8,90
2021,1,21,3.8,24.5,21,93,6,90
2021,1,22,10.9,24.4,20.7,95,4,10
2021,1,23,0,24.6,20.6,93,6,360
2021,1,24,0,24,18.7,82,8,80
2021,1,25,0,22,19.3,92,5,90
2021,1,26,0,24.2,19.6,86,4,90
2021,1,27,0,24.5,19.8,88,6,100
2021,1,28,10.4,23.8,16,90,6,60
2021,1,29,1,20.4,15.6,89,9,40
2021,1,30,0.1,21.8,17.2,77,8,90
2021,1,31,0,22.6,18,88,8,100
2021,2,1,0,24,18.8,90,6,110
2021,2,2,5.4,23.3,18.2,90,6,40
2021,2,3,0.6,22.6,19.2,92,7,40
2021,2,4,0,23.2,19,86,8,60
2021,2,5,0,23.6,19,90,7,90
2021,2,6,0,24.7,20.2,87,5,110
2021,2,7,0,24.2,20.2,93,5,90
2021,2,8,0,24.4,19,90,7,90
2021,2,9,0,23.4,19.1,90,9,100
2021,2,10,7.6,23.7,19.5,92,8,110
2021,2,11,2.4,26.8,19,91,7,310
2021,2,12,0,24.8,19.6,91,5,20
2021,2,13,0.8,25.1,19.3,89,4,10
2021,2,14,0,25.4,19,90,2,340
2021,2,15,0.8,24.3,18.3,89,5,90
2021,2,16,0,24.2,19.4,88,7,120
2021,2,17,16.3,24.6,16.5,91,7,30
2021,2,18,0,19.7,16.2,84,7,40
2021,2,19,0,20.6,15,90,6,60
2021,2,20,0,21.8,17,84,5,100
2021,2,21,0,23.8,19.4,89,6,110
2021,2,22,3.4,24.4,20.2,91,6,90
2021,2,23,7.5,24.2,20,92,5,40
2021,2,24,3.3,24.1,20.8,90,6,60
2021,2,25,1.3,25.7,21.3,93,3,120
2021,2,26,0,27.5,21.8,91,2,360
2021,2,27,0,26.9,20.7,89,5,110
2021,2,28,0,25,21.2,93,6,130
2021,3,1,0,25.7,22.2,94,6,120
2021,3,2,5.7,26.7,16.6,92,7,20
2021,3,3,0,24.2,19.5,91,7,90
2021,3,4,0,26.6,23,93,7,140
2021,3,5,0,28.2,23,93,7,140
2021,3,6,0,27.8,23.6,91,6,150
2021,3,7,0,27.8,21.8,90,4,150
2021,3,8,0.3,26.4,21.8,92,4,40
2021,3,9,14.6,27,21.6,93,6,100
2021,3,10,0.5,25.3,19.8,89,8,100
2021,3,11,0,26,22.4,91,7,120
2021,3,12,0,26.7,21,91,7,90
2021,3,13,0,24.6,20.6,90,7,90
2021,3,14,0,24.4,19,89,6,80
2021,3,15,0.9,25.8,20.6,90,7,120
2021,3,16,2.4,25.7,23,93,6,100
2021,3,17,0.4,27.2,22.8,91,4,110
2021,3,18,0,26.5,22.6,94,5,90
2021,3,19,0,27,22.8,91,5,110
2021,3,20,5,27.6,23,92,6,100
2021,3,21,18.7,25.8,18.3,93,7,10
2021,3,22,5.4,22,17,94,8,40
2021,3,23,0.6,23.4,20,88,8,60
2021,3,24,7.9,25,20.7,93,4,120
2021,3,25,0.2,23.6,20.3,95,5,40
2021,3,26,0,25.8,22.2,91,6,110
2021,3,27,0,27.4,23,94,7,140
2021,3,28,0,28.7,23.2,91,3,270
2021,3,29,0,29.2,24,92,1,360
2021,3,30,0,29.1,22.7,92,3,280
2021,3,31,0,29.2,22.7,94,2,120
2021,4,1,0,29,23.6,94,4,140
2021,4,2,0,29,23.5,91,4,140
2021,4,3,0,28,23.3,94,4,130
2021,4,4,0.3,27.8,22,94,5,120
2021,4,5,0,25.1,19.8,87,5,40
2021,4,6,0,25.2,19.4,91,4,90
2021,4,7,0,23.7,19.6,92,4,60
2021,4,8,0,25.2,20.2,88,5,90
2021,4,9,0,26.2,20.6,90,5,70
2021,4,10,2.6,26.3,21.6,90,6,100
2021,4,11,1.4,26.8,22,93,6,90
2021,4,12,1.4,27,22.8,91,7,110
2021,4,13,0,27.6,23.3,92,5,110
2021,4,14,0.3,27.6,22.8,92,4,110
2021,4,15,0.4,28.2,23.6,91,5,110
2021,4,16,4.8,30,22.5,91,5,120
2021,4,17,18,27.9,20.4,92,6,60
2021,4,18,0,24.9,19,86,8,60
2021,4,19,0,25,20.2,85,5,40
2021,4,20,2.3,24.3,21,93,8,40
2021,4,21,0,24.8,20.3,91,11,360
2021,4,22,0,26.3,21,93,9,340
2021,4,23,9.2,27.7,22.3,91,4,300
2021,4,24,0,27.3,20.7,90,2,360
2021,4,25,0,26.7,21.8,89,4,90
2021,4,26,0,26,19.6,90,7,110
2021,4,27,0,26,20.8,89,6,120
2021,4,28,0,27,22.3,91,6,130
2021,4,29,0.4,28.1,21.7,92,2,360
2021,4,30,0,28.1,22.3,90,2,360
2021,5,1,0,29.5,24,93,2,120
2021,5,2,-1,28,23.6,94,5,110
2021,5,3,0,26.7,22.8,92,8,120
2021,5,4,0,28.8,24.4,93,8,150
2021,5,5,0,30.5,24.5,94,5,150
2021,5,6,0,28.5,24.5,92,6,120
2021,5,7,0,28.7,24.6,92,6,130
2021,5,8,0,29.4,25,93,6,150
2021,5,9,0,31.4,25,89,4,160
2021,5,10,0,30.6,25,91,6,150
2021,5,11,0,30.4,25.2,93,6,150
2021,5,12,0,30,24.8,93,6,160
2021,5,13,0,29.8,23.9,92,6,140
2021,5,14,0,30.2,25,92,6,130
2021,5,15,0,30.2,25,92,8,160
2021,5,16,0,30.4,25.1,92,7,150
2021,5,17,0,30.6,25.5,91,6,150
2021,5,18,0,30.9,25.7,93,7,150
2021,5,19,0,30.5,25,91,7,160
2021,5,20,0,31.2,25.5,91,6,150
2021,5,21,0,30.7,25.8,91,6,180
2021,5,22,0,31.2,26.2,88,5,180
2021,5,23,0,32,26.5,89,4,180
2021,5,24,0,31.7,26.7,89,5,160
2021,5,25,0,31.7,25.2,90,4,150
2021,5,26,0,31.3,25.2,86,4,150
2021,5,27,0,32.4,25.8,91,3,180
2021,5,28,0,32.7,26.6,87,4,300
2021,5,29,0,32,26.3,87,3,290
2021,5,30,0,32.6,26.7,86,5,270
2021,5,31,0,32.2,26.1,90,3,270
2021,6,1,0,33,26.6,88,3,160
2021,6,2,-1,32.2,27,86,6,150
2021,6,3,0.1,31.6,24.2,88,6,150
2021,6,4,0,31.8,24.9,87,7,240
2021,6,5,-1,33.1,25.6,84,7,260
2021,6,6,0,31.1,25.8,88,3,200
2021,6,7,9.7,31.8,24.3,92,5,140
2021,6,8,22.8,28,24.5,95,4,90
2021,6,9,-1,29.6,25.6,92,5,150
2021,6,10,12,30.4,24.8,90,7,150
2021,6,11,9.1,30.2,24.2,92,6,150
2021,6,12,16.1,30.7,23.7,92,5,140
2021,6,13,0,31,25.6,92,5,180
2021,6,14,8.9,30.6,25.4,92,4,270
2021,6,15,1.3,30.2,26,90,8,260
2021,6,16,0,30.7,26.4,90,8,290
2021,6,17,0.6,30.7,25.8,91,9,290
2021,6,18,4.8,30.1,24.8,92,9,280
2021,6,19,1,30.3,25,92,10,280
2021,6,20,0,30.4,25.6,91,9,280
2021,6,21,0,29.3,25.2,93,7,280
2021,6,22,0,30.5,26.3,91,7,270
2021,6,23,15.4,30.1,24.1,93,4,270
2021,6,24,1.5,29,24.4,92,5,290
2021,6,25,1.3,30,24,90,5,270
2021,6,26,1.8,29.6,24.5,92,6,290
2021,6,27,26.8,29.9,23.8,92,5,260
2021,6,28,0,31,25.8,90,5,250
2021,6,29,0,31,26.2,91,5,270
2021,6,30,0,30.1,26,93,5,290
2021,7,1,0.3,30.7,25.4,93,4,290
2021,7,2,0,31,25,89,3,290
2021,7,3,0.1,31.8,25.4,90,4,100
2021,7,4,7.6,30.2,23.2,90,8,100
2021,7,5,39.1,28.9,23.5,95,6,120
2021,7,6,1.6,30,26,92,5,180
2021,7,7,0,31,26,92,5,120
2021,7,8,0,29.7,26.3,92,5,120
2021,7,9,0,31,26.4,90,6,110
2021,7,10,0,30.2,25.9,90,6,120
2021,7,11,0,30.2,26.5,92,6,120
2021,7,12,0,31,26.5,93,5,140
2021,7,13,12.4,31.4,24.2,90,4,140
2021,7,14,14.8,30.3,23.6,93,5,90
2021,7,15,1.3,30.6,24.5,93,5,120
2021,7,16,4.8,29.7,25.7,92,4,90
2021,7,17,0,30.2,25.9,89,3,100
2021,7,18,0,31.2,26,87,1,80
2021,7,19,62.1,30.3,23.5,95,3,310
2021,7,20,23.8,28.2,23.6,94,5,320
2021,7,21,0,29.3,26,94,7,300
2021,7,22,5.2,28.8,25,93,10,300
2021,7,23,-1,27.8,24,92,11,280
2021,7,24,1.5,29.8,25.4,92,10,270
2021,7,25,6.6,28.4,22.3,94,9,270
2021,7,26,6.6,30,24,95,8,270
2021,7,27,55,28.7,24,94,7,280
2021,7,28,7.6,28.5,23.8,93,7,280
2021,7,29,0.4,31,26,92,7,270
2021,7,30,1,29.6,24.5,93,6,270
2021,7,31,49.9,29.4,23.3,93,8,260
2021,8,1,73.5,29.4,24,95,7,250
2021,8,2,77.4,28.1,22.2,93,8,270
2021,8,3,55.7,28,23.3,93,8,240
2021,8,4,13.4,29,25.5,93,9,230
2021,8,5,9.4,30.3,20.6,90,10,230
2021,8,6,2.4,29.8,25.3,92,10,230
2021,8,7,0.6,29.8,26.4,92,11,250
2021,8,8,4.4,30.4,25.4,92,7,250
2021,8,9,18.6,30.8,22.6,93,4,270
2021,8,10,0.6,30,24.8,92,3,160
2021,8,11,9.1,31,23.4,92,3,290
2021,8,12,48.2,29,23.2,93,3,230
2021,8,13,1.2,29.4,24,93,3,180
2021,8,14,0,30.7,25,90,2,230
2021,8,15,1.5,30.9,24.8,92,2,140
2021,8,16,3.4,30.6,25.2,93,5,150
2021,8,17,5.8,30.6,25.8,88,4,160
2021,8,18,0,30.6,25.5,90,4,160
2021,8,19,0.3,31.3,25,90,2,150
2021,8,20,0,31.3,26,92,2,120
2021,8,21,0.6,32,25.2,92,2,360
2021,8,22,2.2,31.6,25.4,92,2,160
2021,8,23,0.1,29,25.5,92,3,180
2021,8,24,0,30.8,25.7,91,4,160
2021,8,25,2.4,31.1,24,90,4,150
2021,8,26,19.4,29.8,22,93,5,90
2021,8,27,6.2,30.1,25.2,92,6,110
2021,8,28,1.2,29.7,25,92,5,100
2021,8,29,29.6,29.9,22.6,92,3,90
2021,8,30,17.4,27.7,23.3,92,5,110
2021,8,31,5.7,30.1,24.4,92,4,140
2021,9,1,7.8,30.6,24.4,92,3,130
2021,9,2,4.3,30.3,24.1,92,3,150
2021,9,3,0.2,31,25,93,1,360
2021,9,4,119.9,27.4,23.3,92,2,340
2021,9,5,2.4,29,24.4,93,4,140
2021,9,6,0,30.8,26.4,93,5,140
2021,9,7,8.6,30.2,24.4,90,5,120
2021,9,8,15.3,30.3,23.8,92,5,90
2021,9,9,9.8,29.9,25,94,5,90
2021,9,10,145,30.7,25.2,94,10,90
2021,9,11,420.7,27.2,23.8,98,-999,-999
2021,9,12,5.5,28.6,24.1,94,-999,-999
2021,9,13,0,31.8,25,89,4,240
2021,9,14,0,31.7,25,91,3,290
2021,9,15,0,30.9,25.6,92,1,360
2021,9,16,0,30.6,26,90,2,150
2021,9,17,0.8,31.3,26.2,90,5,120
2021,9,18,0.1,30.6,26.3,90,5,140
2021,9,19,1.3,30.8,26,89,4,130
2021,9,20,0.6,31.6,25.5,90,4,130
2021,9,21,0,31.8,25.6,90,5,120
2021,9,22,0.9,31.7,26,90,6,120
2021,9,23,0.6,31,25.8,90,5,110
2021,9,24,0.4,30.8,26.2,91,5,90
2021,9,25,1.4,31,26,90,6,90
2021,9,26,4.1,30,25.6,90,5,30
2021,9,27,0,31.8,25.8,90,4,40
2021,9,28,0.8,30.6,25.2,91,4,20
2021,9,29,3.2,30.2,24.3,89,5,350
2021,9,30,0,30.4,25.8,93,3,340
2021,10,1,0,31.2,25.8,90,2,340
2021,10,2,2.6,31.2,24.5,90,6,110
2021,10,3,0.5,30.4,25.2,85,7,90
2021,10,4,3.6,31,24.3,92,8,90
2021,10,5,14.3,30,23,89,8,90
2021,10,6,57,29.8,23.8,94,7,130
2021,10,7,1,29,24.6,89,7,120
2021,10,8,7.6,30.5,22.9,92,5,130
2021,10,9,8.9,29,25,93,4,70
2021,10,10,81.4,29.3,23.8,93,12,10
2021,10,11,49.1,27.8,23.8,95,17,40
2021,10,12,4.1,28.7,24.9,94,14,160
2021,10,13,3.2,27.2,24.4,95,8,160
2021,10,14,30,27,23,94,5,100
2021,10,15,0.1,27.6,23,91,7,90
2021,10,16,1.1,28.9,23.8,92,7,90
2021,10,17,16.6,29,22.2,91,10,20
2021,10,18,1.2,27.6,22.2,91,6,40
2021,10,19,0,29,23.7,89,5,40
2021,10,20,0,28.9,22.7,88,6,120
2021,10,21,0,30.2,24.6,89,2,360
2021,10,22,76.3,27.4,20.5,94,7,20
2021,10,23,38.5,27,22.6,94,8,60
2021,10,24,44.3,27.2,20.4,93,5,90
2021,10,25,0.6,28.3,22.6,92,5,90
2021,10,26,1.9,27.6,23,93,7,110
2021,10,27,0,28,23,91,6,70
2021,10,28,-1,27.3,22.6,87,5,60
2021,10,29,0,28.2,22.8,88,6,60
2021,10,30,0,28.4,22.7,83,4,70
2021,10,31,0,28.5,22.6,86,6,100
2021,11,1,0,28.8,23,92,7,120
2021,11,2,0,28.8,21.8,86,7,90
2021,11,3,1.6,28,22.6,85,6,120
2021,11,4,0,28.2,23.4,90,7,120
2021,11,5,0,28.7,24.9,91,7,140
2021,11,6,0.6,28.8,25.5,93,6,180
2021,11,7,0,30,25.2,90,5,140
2021,11,8,7.6,30.2,21.3,92,6,30
2021,11,9,3.8,24.4,21,93,5,40
2021,11,10,3.8,25,21.6,91,5,40
2021,11,11,2.3,25.4,20.8,93,6,70
2021,11,12,12.2,24,20.8,92,7,40
2021,11,13,25.1,25,21.8,94,4,40
2021,11,14,8.6,26.3,22.4,94,6,40
2021,11,15,0,27,21.5,90,6,40
2021,11,16,0.1,27.7,22.6,90,6,50
2021,11,17,0.1,27.3,24,91,7,60
2021,11,18,0,28,23.4,91,5,110
2021,11,19,0.3,28.2,23.8,88,4,100
2021,11,20,0,28,23.8,90,6,110
2021,11,21,0,28.4,23.2,90,3,100
2021,11,22,6.9,28,20.4,91,7,40
2021,11,23,2.4,24.9,21.2,89,5,40
2021,11,24,1.4,26,21.3,91,7,40
2021,11,25,0,26,23.2,93,8,40
2021,11,26,123.6,25.6,20.2,93,5,50
2021,11,27,111.6,23.8,20.3,97,9,90
2021,11,28,134.8,25,19,95,10,90
2021,11,29,14.7,24.4,19.3,93,11,40
2021,11,30,11.2,25.8,19,93,7,30
2021,12,1,0,22,16.6,87,9,40
2021,12,2,0.1,23.7,18,86,7,40
2021,12,3,0,23.2,16.6,89,7,40
2021,12,4,0.3,23.2,17,84,8,40
2021,12,5,0.4,24.5,18.8,85,7,60
2021,12,6,0,25.3,19,84,7,60
2021,12,7,0.3,25.2,18.6,83,9,50
2021,12,8,0.2,24,16.3,81,8,40
2021,12,9,0,25.2,19,77,8,60
2021,12,10,0,25,19.3,80,8,50
2021,12,11,0.4,24.9,18.5,89,7,50
2021,12,12,0,25.6,20.4,86,7,60
2021,12,13,0.4,25.2,18.2,91,9,70
2021,12,14,0,25.1,18.7,88,10,120
2021,12,15,0,26,18.4,85,9,110
2021,12,16,1.3,25.9,21.5,89,5,60
2021,12,17,3.7,24.4,17.8,88,9,40
2021,12,18,3.1,20.9,17.6,93,9,50
2021,12,19,0.5,22,18.5,93,9,60
2021,12,20,2,24.1,20.2,92,8,60
2021,12,21,1.7,25.6,22.5,93,7,160
2021,12,22,7.9,27.3,21.6,92,4,20
2021,12,23,0,26,21.6,91,3,50
2021,12,24,0,27.2,21.8,93,3,80
2021,12,25,9.1,25,18,94,8,40
2021,12,26,0,23.3,17.8,89,10,40
2021,12,27,0,23,18.2,84,8,40
2021,12,28,0,24,19.7,86,7,90
2021,12,29,0,25.1,19.9,88,5,120
2021,12,30,7.3,25.2,18.6,91,5,40
2021,12,31,2.6,22.8,18.8,87,8,40
2022,1,1,0,23.8,18.5,83,8,130
2022,1,2,5.1,25,18.6,87,6,130
2022,1,3,7.1,25,18.8,86,6,130
2022,1,4,1.2,24.6,19.4,86,8,130
2022,1,5,0,24.5,21.8,92,7,140
2022,1,6,0.6,26,20.8,90,7,60
2022,1,7,19.6,24.7,18.8,93,6,40
2022,1,8,32.2,22.2,19,94,6,60
2022,1,9,0,24.5,19,94,4,110
2022,1,10,0,25.3,20.1,92,5,360
2022,1,11,5.9,24.1,17.5,88,7,30
2022,1,12,1.2,22.7,17.4,91,5,40
2022,1,13,8.5,24.5,17.8,75,4,40
2022,1,14,3.6,23.5,13.6,88,6,110
2022,1,15,10.7,23,19.1,93,3,110
2022,1,16,0,23.6,20.8,89,7,150
2022,1,17,0,26.2,20.5,90,6,150
2022,1,18,0,25.6,13.8,86,4,140
2022,1,19,17.8,26.3,13.3,91,5,30
2022,1,20,48.4,22.5,13.6,90,10,90
2022,1,21,19.2,22.8,18.2,89,8,110
2022,1,22,1.2,25.2,19.2,88,11,150
2022,1,23,8.5,25.6,21.8,93,6,180
2022,1,24,0,26.7,21.7,89,4,90
2022,1,25,0,25.2,20.8,92,7,60
2022,1,26,0,26,19.8,90,9,110
2022,1,27,61.6,23,19.6,93,8,90
2022,1,28,40.8,23.4,20,95,7,90
2022,1,29,11.1,24.8,19.5,95,4,10
2022,1,30,8.8,23.2,17.4,93,8,10
2022,1,31,0.6,22.3,17.5,89,9,40
2022,2,1,0,23.4,19.7,86,8,130
2022,2,2,0,25.4,21,89,6,140
2022,2,3,0,26.6,20.4,91,4,150
2022,2,4,1.2,24.6,18.7,90,6,20
2022,2,5,0.6,23.6,18,87,7,60
2022,2,6,4,22.9,18.8,89,9,120
